Parameter,Excel Source,Excel Value,Web Value,Difference,% Difference,Classification,Explanation
self_weight_kn,FOOTING!E18,25.196,25.196,0.0,0.0,MATCH,
total_load_kn,FOOTING!E19,277.156,277.156,0.0,0.0,MATCH,
required_area_m2,FOOTING!E22,2.0530074074,2.0530074074074074,7.407408020299044e-12,3.6080766165768705e-10,MATCH,
required_length_mm,FOOTING!E26,1432.83195365,1432.8319536524189,2.4188011593651026e-09,1.6881261987516694e-10,MATCH,
required_width_mm,FOOTING!E28,1432.83195365,1432.8319536524189,2.4188011593651026e-09,1.6881261987516694e-10,MATCH,
footing_width_mm,FOOTING!E32,1650.0,1650.0,0.0,0.0,MATCH / APPROVED LIVE LOGIC,QD-016 (no baseline numerical difference for square column)
provided_area_m2,FOOTING!E34,2.7225,2.7225,0.0,0.0,MATCH,
pd_kn_m2,FOOTING!E38,101.802020202,101.8020202020202,2.020783540501725e-11,1.9850132015965875e-11,MATCH,
pmax_x_kn_m2,FOOTING!E43,108.5338008181,108.53380081809834,-1.6626700016786344e-12,-1.5319375062384746e-12,MATCH,
pmin_x_kn_m2,FOOTING!E44,95.0702395859,95.07023958594206,4.206412995699793e-11,4.4245318135536207e-11,MATCH,
pmax_x_working_kn_m2,FOOTING!E48,72.3558672121,72.35586721206556,-3.4432900974934455e-11,-4.7588263815565575e-11,MATCH,
pmin_x_working_kn_m2,FOOTING!E49,63.380159724,63.38015972396138,-3.8625103115919046e-11,-6.094194663459168e-11,MATCH / APPROVED LIVE LOGIC,QD-002 live dependency (same baseline number)
pmax_y_kn_m2,FOOTING!E55,130.8795725854,130.87957258535772,-4.229150363244116e-11,-3.23132959536872e-11,MATCH,
pmin_y_kn_m2,FOOTING!E56,72.7244678187,72.7244678186827,-1.730882104311604e-11,-2.380054686170606e-11,MATCH,
pmax_y_working_kn_m2,FOOTING!E60,87.2530483902,87.25304839023848,3.8482994568767026e-11,4.4105043065852726e-11,MATCH,
pmin_y_working_kn_m2,FOOTING!E61,48.4829785458,48.48297854578846,-1.1539214028744027e-11,-2.380054686170606e-11,MATCH / APPROVED LIVE LOGIC,QD-002 live dependency (same baseline number)
projection_x_mm,FOOTING!E67,635.0,635.0,0.0,0.0,MATCH,
projection_y_mm,FOOTING!E70,635.0,635.0,0.0,0.0,MATCH,
moment_x_knm,FOOTING!E79,36.1049220138,36.10492201377411,-2.589217729109805e-11,-7.17137050765587e-11,MATCH,
moment_y_knm,FOOTING!E85,43.538480416,43.538480415977965,-2.2033930235920707e-11,-5.060794503021616e-11,MATCH,
required_eff_depth_x_mm,FOOTING!E98,137.474152462,136.98999461104344,-0.4841578509565636,-0.3521810044185523,APPROVED CORRECTION,QD-012 downstream effect (Ru.max derived)
required_eff_depth_y_mm,FOOTING!E101,150.9643769199,150.4327090609388,-0.5316678589611854,-0.35218100442548933,APPROVED CORRECTION,QD-012 downstream effect (Ru.max derived)
effective_depth_x_mm,FOOTING!E124,295.0,295.0,0.0,0.0,MATCH,
effective_depth_y_mm,FOOTING!E126,285.0,285.0,0.0,0.0,MATCH,
punching_capacity_kn,FOOTING!E161,1038.0711771117,1038.071177111666,-3.410605131648481e-11,-3.2855214621583582e-12,MATCH,
punching_demand_kn,FOOTING!E163,298.4414173771,232.1366016161616,-66.30481576093837,-22.217028837240093,APPROVED CORRECTION,QD-018
ast_x_req_mm2,FOOTING!E169,291.4972556805,291.4972556805167,1.6655121726216748e-11,5.713646149887547e-12,MATCH,
ast_y_req_mm2,FOOTING!E171,367.8486303088,367.84863030877443,-2.5579538487363607e-11,-6.953821865774029e-12,MATCH,
ast_x_min_mm2,FOOTING!E173,240.72,240.72,0.0,0.0,MATCH / APPROVED LIVE LOGIC,QD-013 depends on selected method
ast_y_min_mm2,FOOTING!E175,232.56,232.56,0.0,0.0,MATCH / APPROVED LIVE LOGIC,QD-013 depends on selected method
ast_x_to_provide_mm2,FOOTING!E178,291.4972556805,291.4972556805167,1.6655121726216748e-11,5.713646149887547e-12,MATCH / APPROVED LIVE LOGIC,QD-004 / QD-013
ast_y_to_provide_mm2,FOOTING!E179,367.8486303088,367.84863030877443,-2.5579538487363607e-11,-6.953821865774029e-12,MATCH / APPROVED LIVE LOGIC,QD-004 / QD-013
spacing_x_mm,FOOTING!E183,175.0,171.11111111111111,-3.8888888888888857,-2.2222222222222205,APPROVED CORRECTION,QD-015
spacing_y_mm,FOOTING!E187,175.0,171.11111111111111,-3.8888888888888857,-2.2222222222222205,APPROVED CORRECTION,QD-015
ld_required_mm,FOOTING!E195,566.40625,453.12499999999994,-113.28125000000006,-20.00000000000001,APPROVED CORRECTION,QD-007
ld_available_mm,FOOTING!E196,560.0,560.0,0.0,0.0,MATCH,
one_way_y_capacity_kn,FOOTING!E210,144.8808750327,144.91403274723072,0.033157714530716476,0.02288619151646668,ROUNDING,
one_way_y_demand_kn,FOOTING!E212,62.6782699725,75.58295316804407,12.904683195544074,20.588767368987664,APPROVED CORRECTION,QD-005
one_way_x_capacity_kn,FOOTING!E230,147.646479696,147.68033215153494,0.03385245553494087,0.02292804786449507,ROUNDING,
one_way_x_demand_kn,FOOTING!E232,73.4234402204,60.88746225895317,-12.535977961446825,-17.07353663055933,APPROVED CORRECTION,QD-005
column_bearing_demand_mpa,FOOTING!E236,2.87904432133,1.9193628808864267,-0.9596814404435732,-33.33333333334166,APPROVED CORRECTION,QD-009
bearing_sqrt_ratio,FOOTING!E242,4.34210526316,4.342105263157895,-2.104982854689297e-12,-4.8478393017063334e-11,MATCH,
column_bearing_capacity_mpa,FOOTING!E245,58.6184210526,27.0,-31.6184210526,-53.939393939369126,APPROVED CORRECTION,QD-008
